New Name,Image Name,Image Source,Original Size (KB),New Size (KB),1/SSIM Value,Area/1000,Normalized Area,Image Value,Reduction Factor,Target Size of Image,Reduced Size of Image
62333ee5ac04e.webp,62333ee5ac04e.png,https://i.dawn.com/medium/2022/03/62333ee5ac04e.png,248.33984375,147.7421875,1.0447098050092554,150.0,0.0347048697873285,1.0794146747965838,0.0414091801753802,50.96148900285253,11.009765625
623332ab8c408.jpg,623332ab8c408.jpg,https://i.dawn.com/medium/2022/03/623332ab8c408.jpg,35.2783203125,35.2783203125,1.0396744493593877,150.0,0.0347048697873285,1.074379319146716,0.041216010715837886,50.72375902977749,35.2783203125
upload-image-6228b1fb2cf78.jpg,upload-image-6228b1fb2cf78.jpg,https://i.dawn.com/widgets/upload-image-6228b1fb2cf78.jpg,249.330078125,249.330078125,1.046846913844495,384.0,0.0888444666555611,1.1356913805000557,0.04356810232139519,53.61843335036635,45.107421875
6230cfdc219b7.jpg,6230cfdc219b7.jpg,https://i.dawn.com/medium/2022/03/6230cfdc219b7.jpg,25.0771484375,25.0771484375,1.081867918405295,150.0,0.0347048697873285,1.1165727881926235,-,25.0771484375,25.0771484375
6232af75b2146.jpg,6232af75b2146.jpg,https://i.dawn.com/thumbnail/2022/03/6232af75b2146.jpg,21.9287109375,21.9287109375,1.067035789076038,54.0,0.0124937531234382,1.0795295421994764,-,21.9287109375,21.9287109375
5c611c42cf5e8.webp,5c611c42cf5e8.png,https://i.dawn.com/thumbnail/2019/02/5c611c42cf5e8.png,2.2724609375,0.35546875,1.4686233972910991,10.608,0.0024543283913598,1.471077725682459,-,0.35546875,0.35546875
6232f0e4bdb7d.jpg,6232f0e4bdb7d.jpg,https://i.dawn.com/thumbnail/2022/03/6232f0e4bdb7d.jpg,22.9892578125,22.9892578125,1.0631917465365837,54.0,0.0124937531234382,1.075685499660022,-,22.9892578125,22.9892578125
6231831f4637f.webp,6231831f4637f.png,https://i.dawn.com/medium/2022/03/6231831f4637f.png,170.080078125,104.986328125,1.0405017440715143,150.0,0.0347048697873285,1.0752066138588428,0.04124774791248018,50.7628173929428,5.287109375
622da56bb2159.jpg,622da56bb2159.jpg,https://i.dawn.com/thumbnail/2022/03/622da56bb2159.jpg,37.8056640625,37.8056640625,1.0740558382997885,48.6,0.0112443778110944,1.085300216110883,0.04163496498857943,51.23935807019776,37.8056640625
6233158e6d001.jpg,6233158e6d001.jpg,https://i.dawn.com/thumbnail/2022/03/6233158e6d001.jpg,13.53125,13.53125,1.0502997224371702,54.0,0.0124937531234382,1.0627934755606083,-,13.53125,13.53125
62325de824f4b.jpg,62325de824f4b.jpg,https://i.dawn.com/medium/2022/03/62325de824f4b.jpg,54.8974609375,54.8974609375,1.0462295738941367,150.0,0.0347048697873285,1.0809344436814652,0.0414674824988972,51.03324056147235,24.1474609375
622d5a5fd009a.jpg,622d5a5fd009a.jpg,https://i.dawn.com/medium/2022/03/622d5a5fd009a.jpg,26.36328125,26.36328125,1.0458060439070742,141.3,0.0326919873396635,1.0784980312467378,0.04137401532279996,50.9182122888373,26.36328125
5c611c42d40e8.webp,5c611c42d40e8.png,https://i.dawn.com/thumbnail/2019/02/5c611c42d40e8.png,3.4912109375,0.904296875,1.5363705761376982,13.056,0.003020711866289,1.5393912880039873,-,0.904296875,0.904296875
623246a6e9cc6.jpg,623246a6e9cc6.jpg,https://i.dawn.com/thumbnail/2022/03/623246a6e9cc6.jpg,19.6044921875,19.6044921875,1.0660764173979154,54.0,0.0124937531234382,1.0785701705213535,-,19.6044921875,19.6044921875
